,X,Y,Z,Detector
60,2.48548,2.82000,-1.50260,2
61,2.48548,3.44000,-1.50260,2
62,2.92389,-0.31000,-1.94101,2
63,2.92389,-0.93000,-1.94101,2
64,2.92389,-1.58000,-1.94101,2
65,2.92389,-2.20000,-1.94101,2
66,2.92389,-2.82000,-1.94101,2
67,2.92389,-3.44000,-1.94101,2
68,2.92389,0.31000,-1.94101,2
69,2.92389,0.93000,-1.94101,2
70,2.92389,1.58000,-1.94101,2
71,2.92389,2.20000,-1.94101,2
72,2.92389,2.82000,-1.94101,2
73,2.92389,3.44000,-1.94101,2
74,4.08213,-0.31000,0.09405,1
75,4.08213,-0.93000,0.09405,1
76,4.08213,-1.58000,0.09405,1
77,4.08213,-2.20000,0.09405,1
78,4.08213,-2.82000,0.09405,1
79,4.08213,-3.44000,0.09405,1
80,4.08213,0.31000,0.09405,1
81,4.08213,0.93000,0.09405,1
82,4.08213,1.58000,0.09405,1
83,4.08213,2.20000,0.09405,1
84,4.08213,2.82000,0.09405,1
85,4.08213,3.44000,0.09405,1
86,0.71064,-0.31000,0.27224,2
87,0.71064,-0.93000,0.27224,2
88,0.71064,-1.58000,0.27224,2
89,0.71064,-2.20000,0.27224,2
90,0.71064,-2.82000,0.27224,2
91,0.71064,-3.44000,0.27224,2
92,0.71064,0.31000,0.27224,2
93,0.71064,0.93000,0.27224,2
94,0.71064,1.58000,0.27224,2
95,0.71064,2.20000,0.27224,2
96,0.71064,2.82000,0.27224,2
97,0.71064,3.44000,0.27224,2
98,3.64372,-0.31000,0.53245,1
99,3.64372,-0.93000,0.53245,1
100,3.64372,-1.58000,0.53245,1
101,3.64372,-2.20000,0.53245,1
102,3.64372,-2.82000,0.53245,1
103,3.64372,-3.44000,0.53245,1
104,3.64372,0.31000,0.53245,1
105,3.64372,0.93000,0.53245,1
106,3.64372,1.58000,0.53245,1
107,3.64372,2.20000,0.53245,1
108,3.64372,2.82000,0.53245,1
109,3.64372,3.44000,0.53245,1
110,0.27224,-0.31000,0.71064,2
111,0.27224,-0.93000,0.71064,2
112,0.27224,-1.58000,0.71064,2
113,0.27224,-2.20000,0.71064,2
114,0.27224,-2.82000,0.71064,2
115,0.27224,-3.44000,0.71064,2
